Rectangles count; Build time; Request time; Total time
1; 4957800; 16540600; 21498400
2; 112600; 5442900; 5555500
4; 81200; 4737200; 4818400
8; 136100; 2929300; 3065400
16; 214800; 3005200; 3220000
32; 243900; 4408600; 4652500
64; 336100; 4965100; 5301200
128; 702300; 7587600; 8289900
256; 1571200; 8857900; 10429100
512; 1572500; 7269000; 8841500
1024; 1712800; 5377800; 7090600
2048; 4550900; 7421000; 11971900
4096; 6447000; 6438300; 12885300
8192; 12069800; 7313500; 19383300
16384; 25761700; 7172900; 32934600
